City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,49,8.01,scattered clouds
202,Fortuna,US,40.5982,-124.1573,46.74,76,0,1.01,clear sky
203,Maymyo,MM,22.0333,96.4667,51.71,49,0,3.6,clear sky
204,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,83.48,49,0,8.99,clear sky
205,Nantucket,US,41.2835,-70.0995,45.01,93,100,6.91,mist
206,Pevek,RU,69.7008,170.3133,-9.06,79,10,3.4,clear sky
207,Northam,GB,51.0333,-4.2167,51.42,91,83,7.54,broken clouds
208,Nagapattinam,IN,10.7667,79.8333,73.83,65,5,8.32,clear sky
209,Mgandu,TZ,-5.95,34.1333,62.51,96,100,1.92,moderate rain
210,Henties Bay,NA,-22.116,14.2845,72.86,76,15,8.66,few clouds
211,Espumoso,BR,-28.7247,-52.8497,101.07,15,0,5.55,clear sky
212,Belaya Gora,RU,68.5333,146.4167,-21.51,98,94,4.47,overcast clouds
213,Asyut,EG,27.181,31.1837,62.82,27,80,5.1,broken clouds
214,Lata,PT,40.1629,-8.3327,64.72,45,5,3.83,clear sky
215,Mountrath,IE,52.9989,-7.4728,49.59,88,100,7.0,overcast clouds
216,Avera,US,33.194,-82.5271,62.11,75,100,8.81,overcast clouds
217,Mercedes,AR,-34.6515,-59.4307,95.86,27,7,8.61,clear sky
218,Olafsvik,IS,64.8945,-23.7142,31.78,56,64,12.19,snow
219,Morozovsk,RU,48.3539,41.8261,37.33,98,100,10.07,moderate rain
220,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,40,11.5,light snow
221,Poronaysk,RU,49.2167,143.1167,-3.96,93,17,6.08,few clouds
222,Nouadhibou,MR,20.931,-17.0347,71.69,57,3,10.36,clear sky
223,Clyde River,CA,70.4692,-68.5914,-21.77,76,100,4.61,light snow
224,Byron Bay,AU,-28.65,153.6167,77.05,96,100,4.83,overcast clouds
225,Inta,RU,66.0317,60.1659,14.11,95,100,3.15,light snow
226,Seoul,KR,37.5683,126.9778,27.01,53,67,5.01,broken clouds
227,Constitucion,CL,-35.3333,-72.4167,67.51,64,3,8.23,clear sky
228,Carnarvon,AU,-24.8667,113.6333,79.63,72,85,12.53,overcast clouds
229,Buritizeiro,BR,-17.3511,-44.9622,83.28,62,64,5.32,broken clouds
230,Dawei,MM,14.0833,98.2,70.25,87,5,3.96,clear sky
231,Laguna De Perlas,NI,12.3429,-83.6712,82.49,65,41,10.87,scattered clouds
232,Tuatapere,NZ,-46.1333,167.6833,56.82,95,100,6.93,moderate rain
233,Bowen,AU,-20.0167,148.2333,80.22,82,100,6.24,overcast clouds
234,Ulaangom,MN,49.9811,92.0667,-20.4,87,89,3.09,overcast clouds
235,Kijang,KR,35.2442,129.2139,33.46,34,99,6.89,overcast clouds
236,Mwinilunga,ZM,-11.7358,24.4293,65.61,87,99,2.21,light rain
237,Okhotsk,RU,59.3833,143.3,4.77,74,100,18.21,overcast clouds
238,Nanortalik,GL,60.1432,-45.2371,6.49,76,6,15.39,clear sky
239,Kamaishi,JP,39.2667,141.8833,31.21,57,48,8.93,scattered clouds
240,Qaanaaq,GL,77.484,-69.3632,-23.4,65,30,8.61,scattered clouds
241,Kishi,NG,9.0833,3.85,90.95,9,99,3.15,overcast clouds
242,Phan Thiet,VN,10.9333,108.1,73.17,88,67,8.57,broken clouds
243,Beringovskiy,RU,63.05,179.3167,-2.2,84,43,19.33,scattered clouds
244,Abramovka,RU,51.1886,41.0202,32.02,99,100,4.97,light snow
245,Coihaique,CL,-45.5752,-72.0662,67.95,45,40,6.91,scattered clouds
246,San Miguel,SV,13.4833,-88.1833,92.35,37,1,2.48,clear sky
247,Saskylakh,RU,71.9167,114.0833,-28.88,100,33,2.89,scattered clouds
248,Malihabad,IN,26.9167,80.7167,55.31,54,2,7.85,clear sky
249,Linjiang,CN,41.8069,126.9078,-0.56,98,51,2.13,broken clouds
250,Raudeberg,NO,61.9875,5.1352,34.47,87,100,1.99,overcast clouds
251,Porto Novo,BJ,6.4965,2.6036,84.02,46,8,10.29,clear sky
252,Tricase,IT,39.9304,18.3553,50.83,63,5,28.14,clear sky
