City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Bredasdorp,ZA,70.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
95,Alugan,PH,78.73,overcast clouds,12.2188,125.4808,JM Lodge
98,Saint George,US,39.67,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
99,Honiara,SB,78.1,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
100,Kenai,US,17.65,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
101,Myitkyina,MM,51.71,clear sky,25.3833,97.4,Shwe Phyu Hotel
102,Kruisfontein,ZA,72.84,light rain,-34.0033,24.7314,Oyster Bay House Rental
103,Salalah,OM,73.42,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Laguna,US,54.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
105,Kyzyl-Suu,KG,19.69,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
107,Pacific Grove,US,55.11,clear sky,36.6177,-121.9166,Lovers Point Inn
108,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
109,Lagoa,PT,58.5,clear sky,39.05,-27.9833,Casa Das Faias
110,Mana,GF,82.15,broken clouds,5.6592,-53.7767,LE SAMANA
111,Acarau,BR,85.84,overcast clouds,-2.8856,-40.12,castelo pizzaria
112,Bluff,NZ,56.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
113,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
114,East London,ZA,83.34,few clouds,-33.0153,27.9116,Tu Casa
115,Palauig,PH,77.4,few clouds,15.435,119.9045,Alperi Botique Resort
117,Mehamn,NO,23.18,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
119,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
120,Kilindoni,TZ,81.73,broken clouds,-7.9139,39.6668,Bustani B&B
121,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Puerto El Triunfo,SV,87.96,clear sky,13.2833,-88.55,Hotel Jardin
123,Skibotn,NO,10.49,broken clouds,69.3913,20.2679,Olderelv Camping
125,Homer,US,28.27,few clouds,59.6425,-151.5483,Beluga Lake Lodge
126,Torbay,CA,29.75,scattered clouds,47.6666,-52.7314,Gallows Cove
127,Ulladulla,AU,63.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
128,Te Anau,NZ,60.62,heavy intensity rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
130,Thessalon,CA,21.69,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
133,Lasa,IT,42.71,light rain,46.6166,10.7002,Pension Feldgärtenhof
134,Nikolskoye,RU,22.89,overcast clouds,59.7035,30.7861,Tourist House - Sablino
135,Westerland,DE,41.02,overcast clouds,54.9079,8.3033,Dorint Strandhotel & Spa Westerland / Sylt
137,Balkanabat,TM,51.76,clear sky,39.5108,54.3671,Nebitchi Hotel
139,Dicabisagan,PH,72.68,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
140,Cabo San Lucas,MX,75.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Lorengau,PG,77.88,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
143,Hasaki,JP,27.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
145,Zhoucheng,CN,32.72,scattered clouds,35.9122,116.3117,Yingbin Restaurant
148,Fukue,JP,46.47,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
149,Vitina,BA,41.32,clear sky,43.2375,17.4839,Adria centar Koćuša
150,Jiuquan,CN,20.37,broken clouds,39.7432,98.5174,Jiuquan Hotel
151,Volgorechensk,RU,24.49,snow,57.4393,41.1555,"Гостиница & Хостел ""Волгореченск"""
153,Broken Hill,AU,61.97,clear sky,-31.95,141.4333,Royal Exchange Hotel
154,Bethel,US,44.49,haze,41.3712,-73.414,Courtyard by Marriott Danbury
155,Jalu,LY,56.79,scattered clouds,29.0331,21.5482,صاحبة الفخامة
158,Camargo,MX,62.74,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
163,Acari,PE,81.82,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
164,Fenoarivo Atsinanana,MG,78.48,overcast clouds,-17.3667,49.4167,L'Oasis Lodge
165,Port Elizabeth,ZA,71.89,broken clouds,-33.918,25.5701,39 On Nile Guest House
166,Shimoda,JP,38.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
167,Itapora,BR,80.49,overcast clouds,-22.0799,-54.7874,Hotel Santa Fé
168,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Shache,CN,30.34,overcast clouds,38.4167,77.2406,Delong Hotel
171,Poum,NC,79.29,clear sky,-20.2333,164.0167,Gîte kajeon
172,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
173,Cidreira,BR,79.52,clear sky,-30.1811,-50.2056,Hotel Castelo
174,Kaitangata,NZ,59.23,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
175,Kavaratti,IN,80.65,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
177,Portland,US,41.83,light intensity drizzle,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
178,Chuy,UY,84.2,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
179,Tabas,IR,48.85,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
181,Taunggyi,MM,48.15,clear sky,20.7833,97.0333,True Treasure Hotel
182,San Patricio,US,76.87,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
183,Mar Del Plata,AR,83.88,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
185,Waingapu,ID,78.53,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
186,Kondinskoye,RU,23.54,overcast clouds,59.6481,67.41,Gostinitsa
187,Apac,UG,83.39,overcast clouds,1.9756,32.5386,Double Duez Apac
189,Chapais,CA,28.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
190,Port Lincoln,AU,62.11,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
191,Iracoubo,GF,81.3,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
193,Muscat,OM,71.62,clear sky,23.6139,58.5922,Mutrah Hotel
194,Kargasok,RU,14.14,overcast clouds,59.0556,80.8572,Hotel Kargasok
195,Paita,PE,86.56,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
196,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
197,Zhuhai,CN,60.69,light rain,22.2769,113.5678,珠海粤财假日酒店
199,Katsuura,JP,42.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
202,Fortuna,US,46.74,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
203,Maymyo,MM,51.71,clear sky,22.0333,96.4667,Tiger Hotel
204,Santa Vitoria Do Palmar,BR,83.48,clear sky,-33.5189,-53.3681,Hostel Comodoro
205,Nantucket,US,45.01,mist,41.2835,-70.0995,Jared Coffin House
207,Northam,GB,51.42,broken clouds,51.0333,-4.2167,Durrant House Hotel
208,Nagapattinam,IN,73.83,clear sky,10.7667,79.8333,Sathya Lodge
213,Asyut,EG,62.82,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
214,Lata,PT,64.72,clear sky,40.1629,-8.3327,Casa Maquia
